t u f_threshhold r_threshhold refrac_timer/refrac_t
0 -0.5 15 40 1
0.005 -0.405 15 40 1
0.01 -0.31095 15 40 1
0.015 -0.21784 15 40 1
0.02 -0.125662 15 40 1
0.025 -0.0344055 15 40 1
0.03 0.0559386 15 40 1
0.035 0.145379 15 40 1
0.04 0.233925 15 40 1
0.045 0.321586 15 40 1
0.05 0.40837 15 40 1
0.055 0.494287 15 40 1
0.06 0.579344 15 40 1
0.065 0.66355 15 40 1
0.07 0.746915 15 40 1
0.075 0.829446 15 40 1
0.08 0.911151 15 40 1
0.085 0.99204 15 40 1
0.09 1.07212 15 40 1
0.095 1.1514 15 40 1
0.1 1.22988 15 40 1
0.105 1.30759 15 40 1
0.11 1.38451 15 40 1
0.115 1.46066 15 40 1
0.12 1.53606 15 40 1
0.125 1.6107 15 40 1
0.13 1.68459 15 40 1
0.135 1.75774 15 40 1
0.14 1.83017 15 40 1
0.145 1.90187 15 40 1
0.15 1.97285 15 40 1
0.155 2.04312 15 40 1
0.16 2.11269 15 40 1
0.165 2.18156 15 40 1
0.17 2.24974 15 40 1
0.175 2.31725 15 40 1
0.18 2.38407 15 40 1
0.185 2.45023 15 40 1
0.19 2.51573 15 40 1
0.195 2.58057 15 40 1
0.2 2.64477 15 40 1
0.205 2.70832 15 40 1
0.21 2.77124 15 40 1
0.215 2.83353 15 40 1
0.22 2.89519 15 40 1
0.225 2.95624 15 40 1
0.23 3.01668 15 40 1
0.235 3.07651 15 40 1
0.24 3.13574 15 40 1
0.245 3.19439 15 40 1
0.25 3.25244 15 40 1
0.255 3.30992 15 40 1
0.26 3.36682 15 40 1
0.265 3.42315 15 40 1
0.27 3.47892 15 40 1
0.275 3.53413 15 40 1
0.28 3.58879 15 40 1
0.285 3.6429 15 40 1
0.29 3.69647 15 40 1
0.295 3.74951 15 40 1
0.3 3.80201 15 40 1
0.305 3.85399 15 40 1
0.31 3.90545 15 40 1
0.315 3.9564 15 40 1
0.32 4.00683 15 40 1
0.325 4.05677 15 40 1
0.33 4.1062 15 40 1
0.335 4.15514 15 40 1
0.34 4.20358 15 40 1
0.345 4.25155 15 40 1
0.35 4.29903 15 40 1
0.355 4.34604 15 40 1
0.36 4.39258 15 40 1
0.365 4.43866 15 40 1
0.37 4.48427 15 40 1
0.375 4.52943 15 40 1
0.38 4.57413 15 40 1
0.385 4.61839 15 40 1
0.39 4.66221 15 40 1
0.395 4.70559 15 40 1
0.4 4.74853 15 40 1
0.405 4.79104 15 40 1
0.41 4.83313 15 40 1
0.415 4.8748 15 40 1
0.42 4.91605 15 40 1
0.425 4.95689 15 40 1
0.43 4.99732 15 40 1
